title,overview,release_date,rating,vote_count,review
The Bourne Identity,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?",2002-06-14,7.469,9640,"Lost count the number of times I've watched The Bourne Identity but it's still a fantastic action-thriller with Matt Damon perfectly cast in the lead which if I recall at the time he was only known for dramas. Some issues with how the sequels were handled, mainly (in TBU) the suggestion Bourne and N"
"Aguirre, the Wrath of God","A few decades after the destruction of the Inca Empire, a Spanish expedition led by the infamous Aguirre leaves the mountains of Peru and goes down the Amazon River in search of the lost city of El Dorado. When great difficulties arise, Aguirre’s men start to wonder whether their quest will lead them to prosperity or certain death.",1972-12-29,7.5,1162,"_**Conquistador expedition travels down the Amazon to death and madness**_

After Pizarro’s conquest of the Inca Empire, a megalomaniacal Spanish soldier (Klaus Kinski) leads a group of conquistadores down the Amazon River in early 1561 in search of gold and more conquest.   

Werner Herzog’s “A"
Fear City: A Family-Style Comedy,"A second-class horror movie has to be shown at Cannes Film Festival, but, before each screening, the projectionist is killed by a mysterious fellow, with hammer and sickle, just as it happens in the film to be shown.",1994-03-09,7.468,1304,No reviews
Frankenstein,"Tampering with life and death, Henry Frankenstein pieces together salvaged body parts to bring a human monster to life; the mad scientist's dreams are shattered by his creation's violent rage as the monster awakens to a world in which he is unwelcome.",1931-11-21,7.5,1672,"Frankenstein, a movie primarily about how Doctor Henry Frankenstein deals with the fallout of his monster actually coming to life, holds up very well almost ninety years from its release.

Starting with the monster itself, we find a fantastic character. Without any lines of dialogue, the filmmaker"
Furiosa: A Mad Max Saga,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",2024-05-22,7.467,4375,"Furiosa (⭐⭐⭐⭐) is a relentless, adrenaline-pumping actioner from #GeorgeMiller, set in a post-apocalyptic wasteland. The film's action sequences are brutal, exciting, and innovative, featuring engaging set pieces and characters. Despite a somewhat thin premise, the action remains a standout. #ChrisH"
The Royal Tenenbaums,"Royal Tenenbaum and his wife Etheline had three children and then they separated. All three children are extraordinary --- all geniuses. Virtually all memory of the brilliance of the young Tenenbaums was subsequently erased by two decades of betrayal, failure, and disaster. Most of this was generally considered to be their father's fault. ""The Royal Tenenbaums"" is the story of the family's sudden, unexpected reunion one recent winter.",2001-10-05,7.5,4743,"Didn't get this film at a fundamental level, the humor felt kind of ham-fisted. Wasn't able to finish it."
Volver,"Raimunda, a working-class woman living in Madrid, is dealing with the aftermath of a fire that killed her parents in her native village in La Mancha. Raimunda's life is further complicated when her deceased mother, Irene, returns as a ghost to resolve unfinished family business, including a murder and other buried truths.",2006-03-17,7.5,1814,"Great film!

First of all, the acting is terrific. Penélope Cruz is obviously the pick of the bunch, she shows her quality and then some in the role; especially for the more emotive scenes. Lola Dueñas, Yohana Cobo and Carmen Maura also give noteworthy performances. Blanca Portillo makes her prese"
I Killed My Mother,"Hubert, a brash 17-year-old, is confused and torn by a love-hate relationship with his mother that consumes him more and more each day. After distressing ordeals and tragic episodes, Hubert will find his mother on the banks of Saint Lawrence river, where he grew up, and where a murder will be committed: the murder of childhood.",2009-06-05,7.5,1123,No reviews
Ordinary People,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.",1980-09-19,7.5,654,"_**Potent drama with Hutton, Sutherland, Moore and Hirsch**_

A family in an affluent neighborhood north of Chicago tries to recover after a tragedy. Timothy Hutton plays the troubled son who gets help from a therapist (Judd Hirsch) while Donald Sutherland & Mary Tyler Moore play the seemingly oka"
Invasion of the Body Snatchers,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,1956-02-05,7.5,1128,No reviews
"Live Twice, Love Once",A retired academic teacher tries to find the love of his youth after being diagnosed with Alzheimer's.,2019-09-06,7.5,347,No reviews
"Yesterday, Today and Tomorrow",Three tales of very different women using their sexuality as a means to getting what they want.,1963-12-21,7.5,446,"This is a bit like a sandwich with the bread in the middle and the filling on each side... Sophia Loren is the woman and Marcello Mastroianni the man and the results of these three short scenarios are really quite funny. The first sees her as ""Adelina"", married to the jobless ""Carmine"" and reduced t"
The Innocents,A young governess for two children becomes convinced that the house and grounds are haunted by ghosts and that the children are being possessed.,1961-12-15,7.5,624,"The Innocents (1961)

 

Oh willow I die, oh willow I die... 

 

Based on Henry James' novel, The Turn Of The Screw, The Innocents is a thoroughly absorbing chiller that pot boils with almost unbearably knowing glee as to what it's doing to the viewer. Deborah Kerr stars as Miss Giddens, th"
Kuch Kuch Hota Hai,"Per her mother's last wish, an 8 year old girl sets out to reunite her father with his college best friend who was in love with him.",1998-10-16,7.5,402,"This film is the epitome of BOLLYWOOD. The script is a cheesy and predictable love triangle. But OH, the production design! the colors! the dancing! the costumes! the singing! the sets! and the cinematography! This film screams visual. If you have 3 hours for a heart-warming, don't-have-to-think, pu"
